name,developer,status,status_group,category,capacity_mw,capacity_label,landscape_weight,location,latitude,longitude,precision,nearest_nuclear_name,nearest_nuclear_state,nearest_nuclear_distance_mi,nearest_nuclear_capacity_mw,source,source_url,notes
KCI-29 Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Jackson, MO",39.33898843,-94.71160733,Public tracker coordinates,Cooper Nuclear Station,NE,86.2,801.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Frattalone Monticello Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Wright, MN",45.26936566,-93.81093368,Public tracker coordinates,Monticello Nuclear Facility,MN,4.8,685.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
AWS Scioto Darby Creek Road Building 4,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Franklin, OH",40.0211444,-83.1231117,Public tracker coordinates,Davis Besse,OH,108.9,925.2,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
AWS Scioto Darby Creek Road Building 5,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Franklin, OH",40.01936,-83.1227788,Public tracker coordinates,Davis Besse,OH,109.0,925.2,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Project Peanut,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Chesterfield, VA",37.34420372,-77.3037902,Public tracker coordinates,Surry,VA,35.5,1695.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Cetronia Road Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Lehigh, PA",40.55165,-75.5986758,Public tracker coordinates,Limerick,PA,22.6,2277.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
CRG Festus Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Jefferson, MO",38.19142221,-90.41518605,Public tracker coordinates,Callaway,MO,83.5,1235.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Compass Stateville Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Iredell, NC",35.77791023,-80.97208141,Public tracker coordinates,McGuire,NC,23.9,2440.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
AWS Arlington Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Gilliam, OR",45.71963,-120.18586,Public tracker coordinates,Columbia Generating Station,WA,66.0,1200.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Person County Mega Park Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Person, NC",36.48051,-78.99548,Public tracker coordinates,Harris (NC),NC,58.6,950.9,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Prologis Butler Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Butler, OH",39.46042057,-84.46564569,Public tracker coordinates,Davis Besse,OH,164.4,925.2,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Tract Cannon Falls Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Dakota, MN",44.5362,-92.926,Public tracker coordinates,Prairie Island,MN,15.6,1186.2,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Sand Springs Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Osage, OK",36.2673,-96.1002,Public tracker coordinates,Wolf Creek Generating Station,KS,138.1,1296.3,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Stargate - Lordstown Campus,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Trumbull, OH",41.15,-80.88,Public tracker coordinates,Beaver Valley,PA,43.3,1846.8,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Project Baccara,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Maricopa, AZ",33.572,-112.37,Public tracker coordinates,Palo Verde,AZ,31.1,4209.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Google Little Rock Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Pulaski, AR",34.67703,-92.17963,Public tracker coordinates,Arkansas Nuclear One,AR,74.1,1845.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
LBT Sugarloaf Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"Luzerne, PA",40.9685,-76.0939,Public tracker coordinates,TalenEnergy Susquehanna,PA,9.0,2532.0,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
Cassville Data Center,,Canceled,Other,Publicly tracked data-center facility,,,4.0,"Grant, WI",42.7144,-90.9907,Public tracker coordinates,Quad Cities Generating Station,IL,76.6,2018.6,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
New Carlisle Data Center,,Planned,Planned,Publicly tracked data-center facility,,,4.0,"St. Joseph, IN",41.7201804,-86.4916321,Public tracker coordinates,Donald C Cook,MI,18.0,2285.3,Cleanview public U.S. data-center tracker,https://cleanview.co/data-centers/us,Individual facility or project from Cleanview's public geocoded U.S. data-center inventory.
